77|Half 1st cousins, 3 rem|22|-1|1/128|63/16384|1|0|0|0|0|0|0|0|0|0|0|0|0
78|Half gr gr grand avuncular|20|-1|1/64|31/4096|1|0|0|0|0|0|0|0|0|0|0|0|0
79|Gr gr gr grandparent-grandchild|17|1|1/32|15/1024|1|-64/15|32/5|-64/15|16/15|0|0|0|0|0|0|0|0
80|1st cousins & half 2nd cousins|80|-1|9/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
81|Half gr grand avuncular & half gr gr grand avuncular|81|-1|3/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
82|Half avuncular & 1st cousins, 2 rem|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
83|1st cousins & half 1st cousins, 1 rem|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
84|Half 1st cousins, 2 rem & half 1st cousins, 3 rem|84|-1|3/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
85|Half 3rd cousins, 1 rem|52|-1|1/512|255/262144|1|0|0|0|0|0|0|0|0|0|0|0|0
86|Half avuncular & half grand avuncular|86|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
87|Half grand avuncular & half gr grand avuncular|34|-1|3/32|43/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
88|Half 1st cousins & half 1st cousins, 1 rem|34|-1|3/32|43/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
89|Half 1st cousins, 1 rem & half 1st cousins, 2 rem|89|-1|3/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
90|Half 2nd cousins & half 3rd cousins|90|0|5/256|623/65536|1|-4096/623|11904/623|-20224/623|21632/623|-14848/623|6528/623|-256/89|256/623|0|0|0|0
91|1st cousins & 3rd cousins|91|-1|17/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
92|1st cousins & 2nd cousins, 1 rem|92|-1|9/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
93|2nd cousins & half 2nd cousins|93|-1|3/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
94|1st cousins, 1 rem & 2nd cousins|34|-1|3/32|43/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
95|Half 2nd cousins, 2 rem|40|-1|1/256|127/65536|1|0|0|0|0|0|0|0|0|0|0|0|0
96|Half 1st cousins & 2nd cousins, 1 rem|96|-1|5/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
97|2nd cousins, 4 rem|52|1|1/512|255/262144|1|-512/51|3968/85|-33536/255|62848/255|-27136/85|14720/51|-45824/255|6272/85|-1536/85|512/255|0|0
98|3rd cousins, 3 rem|74|1|1/1024|511/1048576|1|-5632/511|28928/511|-90880/511|192768/511|-41216/73|44288/73|-238848/511|129280/511|-46848/511|10240/511|-1024/511|0
99|Other relationships|99|-1|9.9|0|1|0|0|0|0|0|0|0|0|0|0|0|0
